parent_node,child_node,url,color
Search & Read,Finding library services,https://www.lib4ri.ch/search?tab=1,#002640
Search & Read,Searching for sources,,#002640
Search & Read,Using & managing sources,,#002640
Searching for sources,Finding & accessing sources,https://www.lib4ri.ch/search?tab=2,#002640
Searching for sources,Semantic & Citation based searches,,#002640
Searching for sources,Accessing difficult sources,https://www.lib4ri.ch/document-delivery,#002640
Searching for sources,Refining a topic,,#002640
Searching for sources,Performing a systematic literature search,,#002640
Using & managing sources,Literature management,,#002640
Using & managing sources,Literature summarization,,#002640
Using & managing sources,Smart Citations,,#002640
Research,Planning your research,,#00918A
Research,Coding & programming,,#00918A
Research,Data management,,#00918A
Planning your research,Finding an AI tool,,#00918A
Planning your research,Data management plan,,#00918A
Planning your research,Note taking and knowledge management,,#00918A
Planning your research,Project management,,#00918A
Coding & programming,Coding repository,,#00918A
Coding & programming,Code ecosystems,,#00918A
Coding & programming,Version control,,#00918A
Coding & programming,Coding help,,#00918A
Data management,Research data management resources,,#00918A
Data management,Electronic lab notebook,,#00918A
Data management,Institutional data repository,,#00918A
Data management,Finding a data repository,,#00918A
Data management,Data management software,,#00918A
Write & Publish,Scientific writing,,#8ECD99
Write & Publish,Scientific publishing,,#8ECD99
Scientific writing,Outlining and brainstorming,,#8ECD99
Scientific writing,Document preparation & formatting,,#8ECD99
Scientific writing,Writing,,#8ECD99
Scientific writing,Figure Making,,#8ECD99
Scientific writing,Translating,,#8ECD99
Scientific writing,Plagiarism check,,#8ECD99
Scientific publishing,Finding open access journals,,#8ECD99
Scientific publishing,Journals with OA agreements,,#8ECD99
Scientific publishing,Avoiding predatory journals,,#8ECD99
Scientific publishing,Institutional publications repository,,#8ECD99
Scientific publishing,CC license help,,#8ECD99
Scientific publishing,DOI issuing,,#8ECD99
Evaluate & Share,Research profiles,,#D3C88F
Evaluate & Share,Academic metrics,,#D3C88F
Evaluate & Share,Bibliometrics,,#D3C88F
