ids,labels,parent_id,color,shade tier,link
Research Toolkit,Research Toolkit,,white,,
Research Toolkit-Search &  Read,Search &  Read,Research Toolkit,#002640,1,
Research Toolkit-Research,Research,Research Toolkit,#00918A,1,
Research Toolkit-Write & Publish,Write & Publish,Research Toolkit,#8ECD99,1,
Research Toolkit-Evalutate & Share,Evalutate & Share,Research Toolkit,#D3C88F,1,
Search &  Read-Finding library services,Finding library services,Research Toolkit-Search &  Read,#005564   ,2,
Search &  Read-Searching for sources,Searching for sources,Research Toolkit-Search &  Read,#4BAF91,2,
Search &  Read-Using & managing sources,Using & managing sources,Research Toolkit-Search &  Read,#B5D499,2,
Searching for sources-Accesing sources,Accesing sources,Search &  Read-Searching for sources,#2D4159,4,https://www.lib4ri.ch/search?find=test&tab=1
Searching for sources-Accessing difficult sources,Semantic and citation based searching,Search &  Read-Searching for sources,#689A74,4,
Searching for sources-Research assistants,Research assistants,Search &  Read-Searching for sources,#7FBAA2,4,
Searching for sources-Performing a systematic literature search ,Performing a systematic literature search ,Search &  Read-Searching for sources,#99D3D0,4,https://www.lib4ri.ch/systematic-literature-search
Using & managing sources-Literature summarization,Literature management,Search &  Read-Using & managing sources,#9EDCF8,3,
Using & managing sources-Literature management,Literature summarization,Search &  Read-Using & managing sources,#5DC7C3,3,
Using & managing sources-Smart Citations,Smart Citations,Search &  Read-Using & managing sources,#A4E6B0,3,https://www.lib4ri.ch/llms-ai-tools
Research-Planning your research,Planning your research,Research Toolkit-Research,#005564   ,2,
Research-Coding & programming,Coding & programming,Research Toolkit-Research,#4BAF91,2,
Research-Data management ,Data management,Research Toolkit-Research,#B5D499,2,
Planning your research-Finding an AI tool,Finding an AI tool,Research-Planning your research,#2D4159,4,
Planning your research-Data management planning,Data management planning,Research-Planning your research,#689A74,4,
Planning your research-Notetaking & knowledge management,Notetaking & knowledge management,Research-Planning your research,#99D3D0,4,
Planning your research-Project management,Project management,Research-Planning your research,#C2B998,4,
Coding & programming-Code repository,Code repository,Research-Coding & programming,#9EDCF8,3,
Coding & programming-Code ecosystems,Code ecosystems,Research-Coding & programming,#5DC7C3,3,
Coding & programming-Version control,Version control,Research-Coding & programming,#A4E6B0,3,
Coding & programming-AI coding help,AI coding help,Research-Coding & programming,#FFE8A0,3,
Data management-Research data management resources,Research data management resources,Research-Data management ,#2D4159,4,
Data management-Electronic lab notebook,Electronic lab notebook,Research-Data management ,#689A74,4,
Data management-Insitutional data repository,Insitutional data repository,Research-Data management ,#7FBAA2,4,
Data management-Finding a data repository,Finding a data repository,Research-Data management ,#99D3D0,4,
Data management-Data management software,Data management software,Research-Data management ,#C2B998,4,
Write & Publish-Scientific writing,Scientific writing,Research Toolkit-Write & Publish,#4BAF91,2,
Write & Publish-Scientific publishing,Scientific publishing,Research Toolkit-Write & Publish,#B5D499,2,
Scientific writing-Outlining & brainstorming,Outlining & brainstorming,Write & Publish-Scientific writing,#2D4159,3&4,
Scientific writing-Document preparation & formatting,Document preparation & formatting,Write & Publish-Scientific writing,#5DC7C3,3&5,
Scientific writing-Writing,Writing,Write & Publish-Scientific writing,#9EDCF8,3&6,
Scientific writing-Figure making,Figure making,Write & Publish-Scientific writing,#689A74,3&7,
Scientific writing-Translating,Translating,Write & Publish-Scientific writing,#7FBAA2,3&8,
Scientific writing-Plagiarism check,Plagiarism check,Write & Publish-Scientific writing,#A4E6B0,3&9,
Scientific publishing-Finding OA journals,Finding OA journals,Write & Publish-Scientific publishing,#7FBAA2,3&10,
Scientific publishing-Journals with OA agreements,Journals with OA agreements,Write & Publish-Scientific publishing,#99D3D0,3&11,
Scientific publishing-Avoiding predatory journals,Avoiding predatory journals,Write & Publish-Scientific publishing,#C2B998,3&12,
Scientific publishing-CC license help,CC license help,Write & Publish-Scientific publishing,#2D4159,3&13,
Scientific publishing-DOI issuing,DOI issuing,Write & Publish-Scientific publishing,#689A74,3&14,
Evalutate & Share-Research profiles,Research profiles,Research Toolkit-Evalutate & Share,#4BAF91,2,
Evalutate & Share-Academic metrics,Academic metrics,Research Toolkit-Evalutate & Share,#B5D499,2,
Evalutate & Share-Bibliometrics,Bibliometrics,Research Toolkit-Evalutate & Share,#F1EBC5,2,
